domain_family,instantiation,detector_family,config_id,split_id,unit_scope,n_control_units_cal,n_control_alarm_units,n_event_units_cal,n_event_alarm_units,fp_grid_step,fp_cal,near_accept_flag,distance_to_band,accepted,acceptance_reason,selection_rank,selected_flag,median_lead_cal,iqr_lead_cal_low,iqr_lead_cal_high,param_json,notes
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__af69ca54,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,26,16,12,0.0263157894736842,0.6842105263157895,0,0.6142105263157895,0,above_band,,0,469.0,197.75,816.0,"{""k_consec"": 5, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__36b2c104,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,28,16,12,0.0263157894736842,0.7368421052631579,0,0.6668421052631579,0,above_band,,0,548.0,361.0,818.0,"{""k_consec"": 3, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__6ce0f435,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,28,16,12,0.0263157894736842,0.7368421052631579,0,0.6668421052631579,0,above_band,,0,548.0,361.0,818.0,"{""k_consec"": 3, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__d101d7fa,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,28,16,12,0.0263157894736842,0.7368421052631579,0,0.6668421052631579,0,above_band,,0,548.0,361.0,818.0,"{""k_consec"": 3, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.975}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__43d5119a,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,33,16,13,0.0263157894736842,0.868421052631579,0,0.7984210526315789,0,above_band,,0,562.0,300.0,799.0,"{""k_consec"": 3, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__e2196d08,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,34,16,11,0.0263157894736842,0.8947368421052632,0,0.8247368421052632,0,above_band,,0,526.0,191.0,798.5,"{""k_consec"": 5, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__d6d6a183,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,37,16,15,0.0263157894736842,0.9736842105263158,0,0.903684210526316,0,above_band,,0,486.0,269.0,757.5,"{""k_consec"": 3, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__1176b1b2,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,15,0.0263157894736842,1.0,0,0.93,0,above_band,,0,541.0,251.0,738.5,"{""k_consec"": 3, ""subsequence_length_m"": 32, ""threshold_quantile"": 0.9}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__2b4edc82,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,513.0,296.25,730.0,"{""k_consec"": 1, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.95}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
markets,volmageddon_covid_public_v2,matrix_profile,matrix_profile__2b963b8d,markets_canonical_frozen_slow_fullgrid_v1,unit_id,38,38,16,16,0.0263157894736842,1.0,0,0.93,0,above_band,,0,513.0,296.25,730.0,"{""k_consec"": 1, ""subsequence_length_m"": 16, ""threshold_quantile"": 0.99}",full-grid slow comparator pass from frozen markets_state_v1; manifest_input_csv=results/rendered/comparators/markets_comparator_input_v2.csv
