method,domain,benchmark,config,q_G_pct,q_p_pct,q_delta_pct,k,q_G,q_p,q_delta,n_reference_rows,n_event_units,n_control_units,n_event_alarmed,n_control_alarmed,control_fp,event_alarm_rate,accepted,primary
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=85, k=5",85.0,85.0,15.0,5,0.1818181818181817,0.3333333333333333,0.5390156012231455,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=90, k=1",90.0,90.0,10.0,1,0.1818181818181817,0.3333333333333333,0.5406227916808972,65620,33777,6562,277,4,0.0006095702529716549,0.008200846730023388,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=90, k=1",90.0,90.0,10.0,1,0.1818181818181817,0.4615384615384615,0.5258941233623806,39960,36343,3996,55,0,0.0,0.0015133588311366701,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=90, k=3",90.0,90.0,10.0,3,0.1818181818181817,0.3333333333333333,0.5406227916808972,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=90, k=3",90.0,90.0,10.0,3,0.1818181818181817,0.4615384615384615,0.5258941233623806,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=90, k=5",90.0,90.0,10.0,5,0.1818181818181817,0.3333333333333333,0.5406227916808972,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=90, k=5",90.0,90.0,10.0,5,0.1818181818181817,0.4615384615384615,0.5258941233623806,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=95, k=1",95.0,95.0,5.0,1,0.1818181818181817,0.4615384615384615,0.5197408625020604,65620,33777,6562,47,0,0.0,0.0013914794090653403,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=95, k=1",95.0,95.0,5.0,1,0.1818181818181817,0.4615384615384615,0.5082676630293649,39960,36343,3996,30,0,0.0,0.0008254684533472745,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=95, k=3",95.0,95.0,5.0,3,0.1818181818181817,0.4615384615384615,0.5197408625020604,65620,33777,6562,0,0,0.0,0.0,False,True
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=95, k=3",95.0,95.0,5.0,3,0.1818181818181817,0.4615384615384615,0.5082676630293649,39960,36343,3996,0,0,0.0,0.0,False,True
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=95, k=5",95.0,95.0,5.0,5,0.1818181818181817,0.4615384615384615,0.5197408625020604,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=95, k=5",95.0,95.0,5.0,5,0.1818181818181817,0.4615384615384615,0.5082676630293649,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=99, k=1",99.0,99.0,1.0,1,0.3333333333333333,0.6666666666666667,0.4848857441150607,65620,33777,6562,3,0,0.0,8.881783462119193e-05,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=99, k=1",99.0,99.0,1.0,1,0.1818181818181817,0.6666666666666667,0.4777083421501977,39960,36343,3996,3,0,0.0,8.254684533472746e-05,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=99, k=3",99.0,99.0,1.0,3,0.3333333333333333,0.6666666666666667,0.4848857441150607,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=99, k=3",99.0,99.0,1.0,3,0.1818181818181817,0.6666666666666667,0.4777083421501977,39960,36343,3996,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_40,"q=99, k=5",99.0,99.0,1.0,5,0.3333333333333333,0.6666666666666667,0.4848857441150607,65620,33777,6562,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__horizon_60,"q=99, k=5",99.0,99.0,1.0,5,0.1818181818181817,0.6666666666666667,0.4777083421501977,39960,36343,3996,0,0,0.0,0.0,False,False
