method,domain,benchmark,config,q_G_pct,q_p_pct,q_delta_pct,k,q_G,q_p,q_delta,n_reference_rows,n_event_units,n_control_units,n_event_alarmed,n_control_alarmed,control_fp,event_alarm_rate,accepted,primary
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=75, k=5",75.0,75.0,25.0,5,0.1818181818181817,0.3333333333333333,0.5661098451849087,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=80, k=1",80.0,80.0,20.0,1,0.1818181818181817,0.3333333333333333,0.5564929588008829,47550,35584,4755,529,1,0.0002103049421661409,0.014866232014388489,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=80, k=3",80.0,80.0,20.0,3,0.1818181818181817,0.3333333333333333,0.5564929588008829,47550,35584,4755,1,0,0.0,2.8102517985611512e-05,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=80, k=5",80.0,80.0,20.0,5,0.1818181818181817,0.3333333333333333,0.5564929588008829,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=85, k=1",85.0,85.0,15.0,1,0.1818181818181817,0.3333333333333333,0.544836799538632,47550,35584,4755,326,1,0.0002103049421661409,0.009161420863309353,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=85, k=3",85.0,85.0,15.0,3,0.1818181818181817,0.3333333333333333,0.544836799538632,47550,35584,4755,1,0,0.0,2.8102517985611512e-05,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=85, k=5",85.0,85.0,15.0,5,0.1818181818181817,0.3333333333333333,0.544836799538632,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=90, k=1",90.0,90.0,10.0,1,0.1818181818181817,0.4615384615384615,0.5304352675929331,47550,35584,4755,65,0,0.0,0.0018266636690647481,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=90, k=3",90.0,90.0,10.0,3,0.1818181818181817,0.4615384615384615,0.5304352675929331,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=90, k=5",90.0,90.0,10.0,5,0.1818181818181817,0.4615384615384615,0.5304352675929331,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=95, k=1",95.0,95.0,5.0,1,0.1818181818181817,0.4615384615384615,0.5119150109396546,47550,35584,4755,32,0,0.0,0.0008992805755395684,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=95, k=3",95.0,95.0,5.0,3,0.1818181818181817,0.4615384615384615,0.5119150109396546,47550,35584,4755,0,0,0.0,0.0,False,True
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=95, k=5",95.0,95.0,5.0,5,0.1818181818181817,0.4615384615384615,0.5119150109396546,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=99, k=1",99.0,99.0,1.0,1,0.3333333333333333,0.6666666666666667,0.4797379139821771,47550,35584,4755,3,0,0.0,8.430755395683454e-05,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=99, k=3",99.0,99.0,1.0,3,0.3333333333333333,0.6666666666666667,0.4797379139821771,47550,35584,4755,0,0,0.0,0.0,False,False
Loopzero quantile (A1),recsys,movielens25m_recursive_frontier_public_v1__canonical_h50,"q=99, k=5",99.0,99.0,1.0,5,0.3333333333333333,0.6666666666666667,0.4797379139821771,47550,35584,4755,0,0,0.0,0.0,False,False
