domain_family,instantiation,unit_id,parent_slice_unit_id,config_id,slice_id,kind,segment_id,segment_start_ts_utc,segment_end_ts_utc,ts_utc,collapse_ts_utc,s_t,signal_source_col,signal_transform,source_csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:21:00+00:00,2020-03-18T23:59:00Z,0.2824420649879832,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:22:00+00:00,2020-03-18T23:59:00Z,0.15368707012003732,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:23:00+00:00,2020-03-18T23:59:00Z,0.7003717660771949,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:24:00+00:00,2020-03-18T23:59:00Z,0.5839987622416507,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:25:00+00:00,2020-03-18T23:59:00Z,0.9701136167658618,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:26:00+00:00,2020-03-18T23:59:00Z,0.2329018877455983,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:27:00+00:00,2020-03-18T23:59:00Z,0.33470917224558827,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:28:00+00:00,2020-03-18T23:59:00Z,0.3488256854285017,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:29:00+00:00,2020-03-18T23:59:00Z,0.891793874933251,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:30:00+00:00,2020-03-18T23:59:00Z,0.6160705640073009,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:31:00+00:00,2020-03-18T23:59:00Z,0.3058586850675702,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:32:00+00:00,2020-03-18T23:59:00Z,1.184200013504192,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:33:00+00:00,2020-03-18T23:59:00Z,1.4564122037829128,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:34:00+00:00,2020-03-18T23:59:00Z,0.3952243336205379,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:35:00+00:00,2020-03-18T23:59:00Z,0.8841472477105117,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:36:00+00:00,2020-03-18T23:59:00Z,0.7247567676716091,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:37:00+00:00,2020-03-18T23:59:00Z,0.3964608412461434,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
markets,volmageddon_covid_public_v2,cfg_001339__covid_mwcb_2020_03_18__seg_01,cfg_001339__covid_mwcb_2020_03_18,cfg_001339,covid_mwcb_2020_03_18,event,seg_01,2020-03-18T08:00:00Z,2020-03-18T09:59:00Z,2020-03-18 08:38:00+00:00,2020-03-18T23:59:00Z,0.3925203396968591,G,log1p_gain,results/rendered/equity_dislocation_family/intraday_v2_ingredient_packet/cfg_001339__covid_mwcb_2020_03_18.packet.csv
